"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","Days","QuickSpecies","Identifier","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","X.Cover","X.Leaf","X.Green","X.Seeds","X.Forbs","Average.Height","SD.Height","CV.Height","Average.Hits.Pin","Average.Leaves.Pin","Sp.Diversity","Distance.from.mob","Closest.mob.size","Approximate.density","Cattle.density","Distance.from.herd","Closest.herd.size","Distance.from.herd.opp.sp","Closest.herd.size.opp.sp","Distance.from.opp.sp","Closest.opp.sp.size","Random.NDVI"
"6/15/21","2","DSCN6973","1","930","0.477660938","36.85950232","Cattle","","full","light","no rain","Grazing","hock","green with some brown","Cynodon dactylon","Cynodon plectostachyus","Chloris roxburghiana","Cyperus rubicundus","light","","","300","","","","","","","","","","","","","359.114337708","13","Cattle","CT10","2021","6","15","9","30","","","","4","261671.9282","53132","OG","OG","OG","114.472289296508","130.208493148456","0.317","0.1572","0.846153846153846","0.805194805194805","0.525641025641026","0","0.0128205128205128","6.23076923076923","4.63299205531538","0.743566626161727","21.8181818181818","1.72222222222222","","","","95.4929658551372","41.3802852038928","","","","","","","0.329468886875002"
"6/15/21","2","DSCN6974","2","1039","0.485785825","36.84534865","Cattle","","full","medium","no rain","Grazing","hock","brown with some green","Cynodon plectostachyus","Pennisetum stramineum","Digitaria macroblefara","Pennisetum mezzianum","medium","","","220","","","","","","","","","","","","","27.4406349","13","Cattle","CT11","2021","6","15","10","39","","","","4","260096.2081","54031.17796","LB","MB","MB","405.243590049834","419.684682937788","0.2996","0.1541","0.68","0.642857142857143","0.333333333333333","0.0714285714285714","0.0277777777777778","9","8.7368949480541","0.970766105339345","34.9411764705882","2.14285714285714","","","","70.0281749604339","53.3169059357849","","","","","","","0.329468886875002"
"6/16/21","2","DSCN7378","3","1213","0.500134224","36.85173496","Cattle","","part","no wind","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Chloris roxburghiana","Eragrostis tenuifolia","","light","","","150","","","","","","","","","","","","","448.39897956","14","Cattle","CT13","2021","6","16","12","13","","","","3","260807.8372","55618","MB","MB","MB","21.0255737136949","23.3097970922397","0.3252","0.1765","0.88","0.796610169491525","0.459016393442623","0.0169491525423729","0.0327868852459016","7.04","7.88712030253544","1.12032958842833","21.5454545454545","1.88","","","","159.154943091895","39.7887357729738","","","","","","","0.327057776250002"
"6/16/21","2","DSCN7379","1","1217","0.502111389","36.85056664","Cattle","","full","light","no rain","Drinking","hoof","brown with some green","Cynodon dactylon","Cynodon plectostachyus","Enteropogon macrostachyus","Microchloa kunthii","light","","","150","","","","","","","","","","","","","359.977322964","14","Cattle","CT14","2021","6","16","12","17","","","","4","260677.8176","55836.73355","MB","MB","MB","19.8542212566624","30.4916007389219","0.3291","0.1779","0.92","0.839506172839506","0.505882352941176","0.0123456790123457","0.0470588235294118","6.8","5.3619026473818","0.788515095203207","22.1739130434783","2.26666666666667","","","","159.154943091895","39.7887357729738","","","","","","","0.327057776250002"
"6/16/21","2","DSCN7380","1","1257","0.494742247","36.84913502","Cattle","","part","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Eragrostis tenuifolia","Chloris roxburghiana","Chloris virgata","light","","","200","","","","","","","","","","","","","54.496816668","14","Cattle","CT15","2021","6","16","12","57","","","","4","260518.1394","55021.69778","LB","LB","LB","22.0964350098087","23.9285331099115","0.2994","0.161","0.961538461538462","0.833333333333333","0.4609375","0.0317460317460317","0.015625","11.5","6.00832755431992","0.522463265593037","34.16","2.76315789473684","","","","159.154943091895","39.7887357729738","","","","","","","0.327057776250002"
"6/16/21","2","DSCN7380","2","1303","0.489298872","36.84842902","Camel","","part","no wind","no rain","Standing","hoof","brown","Cyperus teneristolon","Cynodon plectostachyus","Chloris virgata","Pennisetum stramineum","light","","","","","","","","","","","","","","","","198.378930792","14","Camel","CM1","2021","6","16","13","3","","","","4","260439.3315","54419.64052","MB","MB","MB","126.337403207121","127.437920182001","0.2873","0.1483","0.6","0.684210526315789","0.3","0","0.05","4.76","5.08494509967086","1.06826577724178","21.2","1.625","","","","","39.7887357729738","","","","","","","0.327057776250002"
"6/17/21","2","DSCN7997","2","1100","0.485345348","36.85832857","Cattle","","full","light","no rain","Grazing","hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Enteropogon macrostachyus","medium","","","","","","","","","","","","","","","","875.640329508","15","Cattle","CT16","2021","6","17","11","0","","","","4","261541.5","53981.99554","OG","LB","LB","200.159229766287","213.48201067559","0.3181","0.1652","0.96","0.64957264957265","0.325","0.0170940170940171","0.025","15.4","11.474609652039","0.745104522859676","42.0833333333333","2.375","","","","0","12.8915503904435","","","","","","","0.324646665625003"
"6/17/21","2","DSCN7998","2","1240","0.49890006","36.85149937","Cattle","","full","light","no rain","Resting","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","medium","","","162","","","","","","","","","","","","","395.617655412","15","Cattle","CT17","2021","6","17","12","40","","","","3","260781.5596","55481.5","MB","MB","MB","17.0122089439662","26.8312209333998","0.3252","0.1765","0.88","0.796610169491525","0.459016393442623","0.0169491525423729","0.0327868852459016","7.04","7.88712030253544","1.12032958842833","21.5454545454545","1.88","","","","127.960574245884","31.990143561471","","","","","","","0.324646665625003"
"6/17/21","2","DSCN7998","3","1308","0.49842216","36.84550815","Cattle","","full","light","no rain","Grazing","hoof","brown with some green","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","","medium","","","240","","","","","","","","","","","","","115.053702624","15","Cattle","CT18","2021","6","17","13","8","","","","3","260114.4224","55428.85965","LB","LB","LB","21.8423833494397","30.2760809312461","0.3007","0.1695","0.84","0.695652173913043","0.442307692307692","0.0217391304347826","0.115384615384615","10.88","11.2669132122926","1.03556187612983","30.8571428571429","1.39130434782609","","","","127.960574245884","31.990143561471","","","","","","","0.324646665625003"
"6/18/21","1","DSCN7109","3","1104","0.468435333","36.85156982","Cattle","","full","light","no rain","Grazing","hock","brown","Pennisetum mezzianum","Pennisetum stramineum","Cynodon plectostachyus","Chloris roxburghiana","medium","","","240","","","","","","","","","","","","","118.051411548","16","Cattle","CT19","2021","6","18","11","4","","","","4","260788.3311","52111.85011","OG","OG","OG","307.911250325416","319.835776485429","0.2827","0.1579","0.888888888888889","0.661157024793388","0.56","0.0247933884297521","0.193333333333333","10.2592592592593","10.9248925099186","1.06488121937835","35.5833333333333","2.42424242424242","","","","108.225361302489","50.9295817894065","","","","","","","0.322235555000003"
"6/18/21","2","DSCN7111","3","1029","0.486811836","36.8604694","Cattle","","full","no wind","no rain","Grazing","hock","brown","Cynodon plectostachyus","Microchloa kunthii","Pennisetum stramineum","Cyperus rubicundus","light","","","200","","","","","","","","","","","","","812.971124952","16","Cattle","CT20","2021","6","18","10","29","","","","4","261779.9313","54144.12427","MB","MB","MB","23.9522358718052","27.4206125179458","0.3382","0.1738","0.64","0.925925925925926","0.393939393939394","0","0.181818181818182","4.4","6.98808509774554","1.58820115857853","17.875","1.5625","","","","63.6619772367581","71.6197243913529","","","","","","","0.322235555000003"
"6/18/21","2","DSCN7112","2","1052","0.500591593","36.84561668","Cattle","","full","light","no rain","Grazing","hoof","brown","Microchloa kunthii","Cynodon plectostachyus","Cyperus rubicundus","Pennisetum stramineum","light","","","300","","","","","","","","","","","","","82.43114334","16","Cattle","CT22","2021","6","18","10","52","Oryx","","","4","260126.5863","55668.81357","LB","LB","LB","20.3227354951292","31.0030881356579","0.2971","0.1671","0.6","0.571428571428571","0.74","0.0357142857142857","0.44","2.52","3.90640499692492","1.55016071306545","15.0666666666667","2","","","","95.4929658551372","47.7464829275686","","","","","","","0.322235555000003"
"6/18/21","2","DSCN7113","1","1121","0.481442805","36.84456876","Cattle","","full","no wind","no rain","Walking","hoof","brown","Chloris virgata","Pennisetum stramineum","Cynodon dactylon","Eragrostis tenuifolia","light","","","300","","","","","","","","","","","","","65.86755588","16","Cattle","CT23","2021","6","18","11","21","","","","4","260009.2139","53550.83022","MB","MB","MB","384.146016823209","385.047600874536","0.3065","0.1576","0.72","0.777777777777778","0.48936170212766","0.0444444444444444","0.0425531914893617","4.8","4.76095228569523","0.99186505951984","18.5555555555556","1.59090909090909","","","","95.4929658551372","66.845076098596","","","","","","","0.322235555000003"
"6/18/21","2","DSCN7113","2","1127","0.472066786","36.85210161","Cattle","","full","no wind","no rain","Walking","hoof","brown","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","Digitaria macroblefara","light","","","100","","","","","","","","","","","","","227.944703112","16","Cattle","CT24","2021","6","18","11","27","","","","4","260847.6699","52513.5","OG","OG","OG","22.8253654921674","26.0038858985811","0.2977","0.1668","0.888888888888889","0.661157024793388","0.56","0.0247933884297521","0.193333333333333","10.2592592592593","10.9248925099186","1.06488121937835","35.5833333333333","2.42424242424242","","","","108.225361302489","66.845076098596","","","","","","","0.322235555000003"
"6/21/21","1","DSCN3627","1","1030","0.462287155","36.84102734","Cattle","","no sun","no wind","no rain","Grazing","hoof","brown","Pennisetum stramineum","Eragrostis tenuifolia","Enteropogon macrostachyus","Microchloa kunthii","light","","","100","","","","","","","","","","","","","249.714403512","19","Cattle","CT25","2021","6","21","10","30","","","","4","259614.2139","51432.16978","OG","LB","OG","162.996634553024","164.257458635476","0.274","0.1485","0.76","0.625","0.472868217054264","0.0583333333333333","0.0697674418604651","6.44","9.66988452188891","1.50153486364735","30.5263157894737","2.5","","","","31.8309886183791","7.95774715459477","","","","","","","0.315002223125003"
"6/21/21","2","DSCN7107","1","1002","0.468119882","36.85876544","Cattle","","no sun","light","no rain","Grazing","hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","medium","","","120","","","","","","","","","","","","","686.4143706","19","Cattle","CT26","2021","6","21","10","2","","","","3","261589.5496","52076.71211","MB","MB","MB","22.5635739404996","46.3621728788534","0.2913","0.1584","0.88","0.891304347826087","0.481481481481481","0.0217391304347826","0.148148148148148","6.24","6.05034434281774","0.969606465195151","19.0909090909091","1.57692307692308","","","","38.1971863420549","9.54929658551372","","","","","","","0.315002223125003"
"6/21/21","2","DSCN7108","1","1034","0.487642345","36.86004173","Cattle","","full","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Cyperus rubicundus","Pennisetum mezzianum","","light","","","162","","","","","","","","","","","","","902.108406108","19","Cattle","CT27","2021","6","21","10","34","","","","3","261732.3397","54236","MB","MB","MB","23.9729799874465","29.7648444154972","0.3266","0.167","0.64","0.925925925925926","0.393939393939394","0","0.181818181818182","4.4","6.98808509774554","1.58820115857853","17.875","1.5625","","","","51.5662015617741","30.398594130552","","","","","","","0.315002223125003"
"6/21/21","2","DSCN7108","3","1129","0.487708951","36.84743209","Cattle","","full","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum mezzianum","","light","","","220","","","","","","","","","","","","","263.106503436","19","Cattle","CT28","2021","6","21","11","29","","","","3","260328.2665","54243.81758","MB","MB","LB","149.814442478872","160.922946993119","0.2997","0.1584","0.6","0.684210526315789","0.3","0","0.05","4.76","5.08494509967086","1.06826577724178","21.2","1.625","","","","70.0281749604339","30.398594130552","","","","","","","0.315002223125003"
"6/22/21","1","DSCN8000","1","927","0.481162289","36.84088194","MC","","full","light","no rain","Grazing","hock","brown with some green","Cynodon plectostachyus","Pennisetum stramineum","Enteropogon macrostachyus","","medium","","","120","","","","","","","","","","","","Ngaremata Dam Area, Mpala cattle","87.177004908","20","Cattle","CT29","2021","6","22","9","27","","","","3","259598.675","53519.93323","MB","MB","MB","26.9130493024578","27.9643172589743","0.3015","0.1585","0.666666666666667","0.816326530612245","0.423076923076923","0.0408163265306122","0.0576923076923077","6.25","7.97414299606792","1.27586287937087","25.25","2","","","","117.774657888003","42.1760599193523","","","","","","","0.312591112500003"
"6/22/21","1","DSCN8000","2","951","0.478734676","36.84456276","MC","","full","","","Grazing","hock","brown with some green","Pennisetum stramineum","Cynodon nlemfuensis","Enteropogon macrostachyus","Pennisetum mezzianum","medium","","","100","","","","","","","","","","","","Ngaremata Dam Area, Mpala cattle","12.282881856","20","Cattle","CT30","2021","6","22","9","51","","","","4","260008.4504","53251.28789","MB","MB","MB","453.890697733357","465.050526859141","0.3146","0.1602","0.8","0.82051282051282","0.275","0.0256410256410256","0.025","2.84","2.05507501890645","0.723617964403679","11.1","1.52380952380952","","","","117.774657888003","42.1760599193523","","","","","","","0.312591112500003"
"6/22/21","1","DSCN8000","3","956","0.472788775","36.84103295","MC","","full","light","no rain","Grazing","belly","brown with some green","Enteropogon macrostachyus","Cenchrus ciliaris","Cynodon plectostachyus","Chloris roxburghiana","medium","","","150","","","","","","","","","","","","Rongai Area, Mpala Cattle","330.462268584","20","Cattle","CT31","2021","6","22","9","56","","","","4","259615.1975","52593.74257","OG","OG","OG","233.506159930191","236.96946695168","0.2816","0.1475","0.833333333333333","0.689189189189189","0.258278145695364","0.0202702702702703","0.0198675496688742","33.25","22.0853089080777","0.664219816784293","94.9","3","","","","117.774657888003","42.1760599193523","","","","","","","0.312591112500003"
"6/22/21","1","DSCN8002","3","1139","0.472049501","36.85156438","CC","","full","light","no rain","Grazing","hock","","Cenchrus ciliaris","Pennisetum stramineum","Pennisetum mezzianum","Chloris roxburghiana","thick","","","160","","","","","","","","","","","","","168.065654064","20","Cattle","CT32","2021","6","22","11","39","","","","4","260787.8489","52511.60676","OG","OG","OG","27.7928924828115","34.8787699826474","0.2977","0.1668","0.888888888888889","0.661157024793388","0.56","0.0247933884297521","0.193333333333333","10.2592592592593","10.9248925099186","1.06488121937835","35.5833333333333","2.42424242424242","","","","50.9295817894065","42.1760599193523","","","","","","","0.312591112500003"
"6/23/21","1","DSCN8262","2","1159","0.460097277","36.84117812","Cattle","","full","light","no rain","Grazing","hock","brown with some green","Pennisetum mezzianum","Cenchrus ciliaris","Cymbopogon pospischilii","Enteropogon macrostachyus","light","","","140","","","","","","","","","","","","","188.622025284","21","Cattle","CT33","2021","6","23","11","59","","","","4","259630.9298","51189.94464","LB","LB","LB","277.109091044115","278.559197428487","0.2917","0.1681","0.68","0.784810126582278","0.432098765432099","0.0253164556962025","0.0246913580246914","12.72","15.2357036813751","1.19777544664899","46.9411764705882","2.58333333333333","","","","44.5633840657307","11.1408460164327","","","","","","","0.310180001875004"
"6/23/21","1","DSCN8258","1","940","0.486164181","36.86209384","Cattle","","part","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Cynodon nlemfuensis","Pennisetum mezzianum","light","","","170","","","","","","","","","","","","Lima 5","633.303658512","21","Cattle","CT34","2021","6","23","9","40","","","","4","261960.7873","54072.43107","LB","LB","LB","93.2091396027566","108.407598066115","0.3196","0.1635","0.64","0.925925925925926","0.393939393939394","0","0.181818181818182","4.4","6.98808509774554","1.58820115857853","17.875","1.5625","","","","87.5352187005424","25.862678252433","","","","","","","0.310180001875004"
"6/23/21","2","DSCN8258","2","942","0.488524586","36.86186387","Cattle","","part","light","no rain","Grazing","hoof","brown","Pennisetum stramineum","Cynodon nlemfuensis","Pennisetum mezzianum","Cynodon plectostachyus","light","","","105","","","","","","","","","","","","Lima 5","705.090053724","21","Cattle","CT35","2021","6","23","9","42","","","","4","261935.2638","54333.51754","LB","LB","MB","22.7479968505697","29.8647079419205","0.3243","0.1667","0.64","0.925925925925926","0.393939393939394","0","0.181818181818182","4.4","6.98808509774554","1.58820115857853","17.875","1.5625","","","","87.5352187005424","32.2288759761088","","","","","","","0.310180001875004"
"6/23/21","2","DSCN8258","3","955","0.497832558","36.86732894","CC","","part","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Enteropogon macrostachyus","Pennisetum stramineum","Eragrostis tenuifolia","light","","","50","","","","","","","","","","","","","427.576980096","21","Cattle","CT36","2021","6","23","9","55","","","","4","262544.1242","55362.84997","LB","OG","OG","23.6678637337941","24.6042965219447","0.2973","0.1662","0.64","0.925925925925926","0.393939393939394","0","0.181818181818182","4.4","6.98808509774554","1.58820115857853","17.875","1.5625","","","","15.9154943091895","32.2288759761088","","","","","","","0.310180001875004"
"6/23/21","2","DSCN8258","3","955","0.497832558","36.86732894","Comm_Camel","","part","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Enteropogon macrostachyus","Pennisetum stramineum","Eragrostis tenuifolia","light","","","20","","","","","","","","","","","","","427.576980096","21","Camel","CM2","2021","6","23","9","55","","","","4","262544.1242","55362.84997","LB","OG","OG","23.6678637337941","24.6042965219447","0.2973","0.1662","0.64","0.925925925925926","0.393939393939394","0","0.181818181818182","4.4","6.98808509774554","1.58820115857853","17.875","1.5625","","","","","32.2288759761088","","","","","","","0.310180001875004"
"6/23/21","2","DSCN8259","1","1002","0.485628297","36.86177069","ZC","","part","light","no rain","Walking","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Enteropogon macrostachyus","light","","","160","","","","","","","","","","","","","617.006702508","21","Camel","CM3","2021","6","23","10","2","","","","4","261924.7861","54013.16978","OG","OG","OG","117.698486756609","132.169872759929","0.3196","0.1635","0.64","0.925925925925926","0.393939393939394","0","0.181818181818182","4.4","6.98808509774554","1.58820115857853","17.875","1.5625","","","","","25.862678252433","","","","","","","0.310180001875004"
"6/23/21","2","DSCN8259","3","1017","0.501393021","36.85091115","CKC","","part","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Enteropogon macrostachyus","Pennisetum stramineum","light","","","80","","","","","","","","","","","","","399.686460348","21","Cattle","CT37","2021","6","23","10","17","","","","4","260716.1519","55757.26352","MB","MB","MB","20.3635085654985","31.3848484477927","0.3252","0.1765","0.92","0.839506172839506","0.505882352941176","0.0123456790123457","0.0470588235294118","6.8","5.3619026473818","0.788515095203207","22.1739130434783","2.26666666666667","","","","57.2957795130823","26.6584529678925","","","","","","","0.310180001875004"
"6/23/21","2","DSCN8260","1","1029","0.498397601","36.84664488","MC","","full","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","light","","","100","","","","","","","","","","","","","148.384418112","21","Cattle","CT38","2021","6","23","10","29","Impala","","","4","260240.9961","55426.10151","LB","LB","LB","15.7020691881225","30.2505317352428","0.3045","0.1689","0.84","0.695652173913043","0.442307692307692","0.0217391304347826","0.115384615384615","10.88","11.2669132122926","1.03556187612983","30.8571428571429","1.39130434782609","","","","57.2957795130823","14.3239448782706","","","","","","","0.310180001875004"
"6/24/21","1","DSCN5568","3","1240","0.465796213","36.8498703","CC","","full","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Enteropogon macrostachyus","Microchloa kunthii","light","","","100","","","","","","","","","","","","","152.156160828","22","Cattle","CT39","2021","6","24","12","40","","","","4","260599","51820","OG","OG","OG","30.5376588131938","35.6338557799267","0.3265","0.2002","0.64","0.797101449275362","0.493150684931507","0.0144927536231884","0.0547945205479452","8.52","11.3802460430344","1.33570962946413","35.75","2.5","","","","31.8309886183791","7.95774715459477","","","","","","","0.307768891250004"
"6/24/21","2","DSCN5581","1","1001","0.491447305","36.85606796","CKC","","full","light","no rain","Grazing","hock","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Pennisetum stramineum","Pennisetum mezzianum","light","","","170","","","","","","","","","","","","","646.824169572","22","Cattle","CT40","2021","6","24","10","1","","","","4","261290","54657","MB","MB","MB","16.5205540967424","30.6259212838303","0.3306","0.1722","0.76","0.765957446808511","0.333333333333333","0","0.0784313725490196","6.4","7.28583099813146","1.13841109345804","22.2105263157895","2.11764705882353","","","","54.1126806512444","13.5281701628111","","","","","","","0.307768891250004"
