"Date","Loop","Metadata file","GPS.x","GPS.y","Latitude","Longitude","Animal species","% Cover","% Leaf","% Green","% Seeds","% Forbs","Average Height","SD Height","CV Height","Average Hits/Pin","Average Leaves/Pin","Sp. Diversity"
"6/10/21","Loop 2","DSCN6463",261594,52633,0.473149275,36.85880387,"Ungrazed",0.791666666666667,0.74468085106383,0.489795918367347,0.0319148936170213,0.0408163265306122,11.25,15.4053914898818,1.36936813243394,38.7368421052632,2.8,NA
"6/11/21","Loop 1","DSCN6464",260988,52261,0.469784344,36.85336258,"GZ",0.68,0.740740740740741,0.573170731707317,0.0493827160493827,0.0121951219512195,10.92,16.4111750544154,1.50285485846295,41.7647058823529,2.4,NA
"6/11/21","Loop 1","DSCN6465",259652,50950,0.457928028,36.841368,"PZ",0.72,0.75,0.452054794520548,0.0588235294117647,0.0684931506849315,8.12,8.11028154053031,0.998803145385506,30.6666666666667,1.96153846153846,NA
"6/11/21","Loop 1","DSCN6466",260628,50934,0.457786042,36.85013317,"Ungrazed",0.84,0.596638655462185,0.4375,0.0840336134453782,0.0703125,23.92,25.535791874674,1.06754982753654,69.1428571428571,3.08695652173913,NA
"6/14/21","Loop 1","DSCN3249",258576,50692,0.455592546,36.83170558,"",0.666666666666667,0.768292682926829,0.474747474747475,0,0.171717171717172,7.70833333333333,10.2298759679109,1.32711904448574,35.5,5.25,NA
"6/14/21","Loop 1","DSCN3251",259086,51628,0.46405616,36.83628311,"",0.833333333333333,0.641025641025641,0.521739130434783,0.0384615384615385,0.152173913043478,8.625,11.0564264216514,1.28190451265524,29.9,2.17391304347826,NA
"6/14/21","Loop 1","DSCN3252",259721,50426,0.453190803,36.84198908,"",0.68,0.45,0.175,0.15,0,7.28,13.3651287560826,1.83586933462673,26.1176470588235,1.28571428571429,NA
"6/14/21","2","DSCN3243",260980,55536,0.49939338,36.85328136,"",1,1,0.333333333333333,0,0,7,NA,NA,20,1.5,NA
"6/14/21","2","3243",260980,55536,0.49939338,36.85328136,"",0.75,0.738095238095238,0.708333333333333,0.0952380952380952,0.125,5.625,6.19124557251047,1.10066587955742,20.3333333333333,1.9375,NA
"6/14/21","2","3244",260370,55564,0.499644711,36.84780302,"",0.8,0.807692307692308,0.307692307692308,0.0128205128205128,0,7.08,6.62017119617512,0.935052428838293,25.5,2.1,NA
"6/14/21","2","3245",261736,51775,0.465392518,36.86008151,"",0.88,0.891304347826087,0.481481481481481,0.0217391304347826,0.148148148148148,6.24,6.05034434281774,0.969606465195151,19.0909090909091,1.57692307692308,NA
"6/14/21","2","3246",260360,55721,0.501064102,36.84771275,"",0.88,0.788461538461538,0.415094339622642,0,0.0188679245283019,4.36,2.78208554864871,0.638093015745117,14.7272727272727,1.41379310344828,NA
"6/17/21","1","7100",260717,51529,0.463165633,36.85093083,"PZ",0.84,0.81981981981982,0.447368421052632,0.036036036036036,0.0263157894736842,14.16,14.9740887313163,1.05749214204211,44.5714285714286,2.75757575757576,NA
"6/17/21","1","7101",259886,53284,0.479030072,36.84346298,"GZ/PZ",0.8,0.82051282051282,0.275,0.0256410256410256,0.025,2.84,2.05507501890645,0.723617964403679,11.1,1.52380952380952,NA
"6/17/21","1","7102",260171,53538,0.481327274,36.84602175,"GZ",0.72,0.777777777777778,0.48936170212766,0.0444444444444444,0.0425531914893617,4.8,4.76095228569523,0.99186505951984,18.5555555555556,1.59090909090909,NA
"6/17/21","2","7095",261493,54066,0.486104689,36.85789276,"GZ/PZ/Cattle",0.96,0.64957264957265,0.325,0.0170940170940171,0.025,15.4,11.474609652039,0.745104522859676,42.0833333333333,2.375,NA
"6/17/21","2","7096",261045,55175,0.496129794,36.85386617,"PZ",0.96,0.830508474576271,0.584615384615385,0,0.0923076923076923,7.68,5.60297540002929,0.72955408854548,21.4166666666667,1.53125,NA
"6/17/21","2","7097",260727,55450,0.498615109,36.85100948,"GZ",0.88,0.796610169491525,0.459016393442623,0.0169491525423729,0.0327868852459016,7.04,7.88712030253544,1.12032958842833,21.5454545454545,1.88,NA
"6/17/21","2","7098",260142,55452,0.498631452,36.84575575,"Cattle",0.84,0.695652173913043,0.442307692307692,0.0217391304347826,0.115384615384615,10.88,11.2669132122926,1.03556187612983,30.8571428571429,1.39130434782609,NA
"6/21/21","1","3622",259716,50508,0.45393214,36.84194396,"GZ",0.666666666666667,0.617647058823529,0.450704225352113,0.0588235294117647,0.0422535211267606,12.7083333333333,11.4530389613096,0.901222737939115,47,2,NA
"6/21/21","1","3623",259782,53767,0.483396515,36.84252761,"PZ",0.708333333333333,0.646341463414634,0.477777777777778,0.0731707317073171,0.0888888888888889,14.5416666666667,15.4525336790265,1.06263841918807,51.6470588235294,1.96296296296296,NA
"6/21/21","1","3625",259548,51995,0.467375439,36.84043114,"GZ/PZ ",0.833333333333333,0.689189189189189,0.258278145695364,0.0202702702702703,0.0198675496688742,33.25,22.0853089080777,0.664219816784293,94.9,3,NA
"6/21/21","1","3626",259598,51436,0.462321738,36.84088172,"Cattle",0.76,0.625,0.472868217054264,0.0583333333333333,0.0697674418604651,6.44,9.66988452188891,1.50153486364735,30.5263157894737,2.5,NA
"6/21/21","2","7104",261741,54241,0.487687575,36.86011949,"",0.64,0.925925925925926,0.393939393939394,0,0.181818181818182,4.4,6.98808509774554,1.58820115857853,17.875,1.5625,NA
"6/21/21","2","7105",261718,53750,0.48324839,36.85991434,"",0.84,0.734375,0.292307692307692,0,0.0153846153846154,8.04,6.64880941723153,0.826966345426807,25.3333333333333,1.80769230769231,NA
"6/21/21","2","7106",261405,54307,0.488283306,36.85710176,"",0.739130434782609,0.511111111111111,0.41304347826087,0,0.0217391304347826,6.30434782608696,6.16761912667276,0.978311999403265,22.4705882352941,1.35294117647059,NA
"6/24/21","1","DSCN5558",259450,53209,0.478350759,36.83954763,"PZ",0.64,0.660714285714286,0.4,0.0714285714285714,0.0666666666666667,8.04,13.001538370516,1.61710676250199,32.625,1.85,NA
"6/24/21","1","DSCN5559",259411,53350,0.479625407,36.83919698,"GZ",0.88,0.840579710144927,0.267605633802817,0.0289855072463768,0.028169014084507,8.12,7.75843626856168,0.955472446867203,24.9090909090909,2.23076923076923,NA
"6/24/21","1","DSCN5560",260604,51820,0.465796227,36.84991521,"Cattle",0.64,0.797101449275362,0.493150684931507,0.0144927536231884,0.0547945205479452,8.52,11.3802460430344,1.33570962946413,35.75,2.5,NA
"6/24/21","1","DSCN5561",259578,53549,0.481425018,36.84069618,"GZ_PZ",0.666666666666667,0.816326530612245,0.423076923076923,0.0408163265306122,0.0576923076923077,6.25,7.97414299606792,1.27586287937087,25.25,2,NA
"6/24/21","2","DSCN5562",261290,54676,0.491619083,36.85606791,"Cattle",0.76,0.765957446808511,0.333333333333333,0,0.0784313725490196,6.4,7.28583099813146,1.13841109345804,22.2105263157895,2.11764705882353,NA
"6/24/21","2","DSCN5563",259606,55319,0.49742742,36.84094249,"GZ",0.72,0.73469387755102,0.122448979591837,0,0,4.56,3.96946679878629,0.870497104996993,18.1111111111111,2,NA
"6/24/21","2","DSCN5564",259577,53616,0.482030752,36.84068701,"PZ",0.8,0.623188405797101,0.397260273972603,0.072463768115942,0.0547945205479452,10,9.50876788373061,0.950876788373061,32.3,1.53571428571429,NA
"6/24/21","2","DSCN5565",260509,55751,0.501335775,36.84905079,"GZ_PZ",0.76,0.711111111111111,0.408163265306122,0,0.0816326530612245,5.08,5.12282474161798,1.00843006724763,18.5263157894737,1.23076923076923,NA
"6/28/21","1","DSCN5574",259775,51550,0.463352887,36.84247098,"GZ_PZ",0.76,0.534246575342466,0.413333333333333,0.0136986301369863,0.0266666666666667,12.32,13.1552270980018,1.06779440730534,40.3157894736842,1.77272727272727,NA
"6/28/21","1","DSCN5575",260687,51889,0.46642028,36.85066042,"PZ",0.56,0.666666666666667,0.4,0.0303030303030303,0.175,5.56,9.54410813015025,1.71656621045868,25.5714285714286,1.83333333333333,NA
"6/28/21","1","DSCN5576",259503,51382,0.461833269,36.84002871,"Cattle",0.68,0.784810126582278,0.432098765432099,0.0253164556962025,0.0246913580246914,12.72,15.2357036813751,1.19777544664899,46.9411764705882,2.58333333333333,NA
"6/28/21","2","DSCN5577",261093,55159,0.495985281,36.85429729,"PZ",0.68,0.69047619047619,0.326086956521739,0,0.0869565217391304,4.84,6.63123920043104,1.37009074389071,19.6470588235294,1.45,NA
"6/28/21","2","DSCN5578",259610,54957,0.494154641,36.84097948,"Cattle",0.68,0.75,0.541666666666667,0.0208333333333333,0,7.4,7.9320026895272,1.07189225534151,27.4117647058824,1.8,NA
"7/1/21","1","DSCN4554",260822,47517,0.426893727,36.85188436,"GZ_PZ",0.88,0.694736842105263,0.336633663366337,0,0.0594059405940594,21.52,13.687342084325,0.636028907264171,58.0909090909091,2.2,NA
"7/1/21","1","DSCN4555",260822,47517,0.426893727,36.85188436,"Cattle",0.8,0.5,0.576086956521739,0,0,16.56,11.8500351616919,0.715581833435499,50.6,2.09090909090909,NA
"7/1/21","1","DSCN4556",259506,51832,0.465901662,36.84005441,"PZ",0.68,0.531914893617021,0.5,0,0.06,14.28,14.3745144845545,1.00661866138337,53.7647058823529,2.94117647058824,NA
"7/1/21","2","DSCN4557",260226,55760,0.501416297,36.84650922,"Cattle",0.6,0.571428571428571,0.74,0.0357142857142857,0.44,2.52,3.90640499692492,1.55016071306545,15.0666666666667,2,NA
"7/1/21","2","DSCN4558",260062,53974,0.485268786,36.84504161,"PZ",0.68,0.642857142857143,0.333333333333333,0.0714285714285714,0.0277777777777778,9,8.7368949480541,0.970766105339345,34.9411764705882,2.14285714285714,NA
"7/5/21","1","DSCN4559",259714,50346,0.485268786,36.84504161,"Cattle",0.68,0.6625,0.345679012345679,0,0.0123456790123457,9.4,9.3719439463397,0.997015313440393,37.1764705882353,2.40909090909091,NA
"7/5/21","1","DSCN4560",259658,50139,0.450595904,36.84142408,"GZ_PZ",0.8,0.605263157894737,0.302631578947368,0,0,16.76,14.3186358754364,0.854333882782599,49.5,2.09090909090909,NA
"7/5/21","2","DSCN4561",261155,55013,0.494665486,36.85485452,"PZ",0.6,0.8,0.269230769230769,0,0.0384615384615385,3.84,3.79341534767813,0.987868580124514,16.2666666666667,1.25,NA
"7/5/21","2","DSCN4562",261090,52439,0.471393916,36.85427812,"GZ ",0.56,0.707692307692308,0.194029850746269,0.0153846153846154,0.0298507462686567,7.68,11.9363590205165,1.55421341412976,37,3.06666666666667,NA
"7/5/21","2","DSCN4563",260244,53323,0.479383691,36.84667795,"Cattle",0.52,0.594594594594595,0.289473684210526,0.0540540540540541,0.0263157894736842,5.4,7.8049129826454,1.44535425604544,26.6153846153846,1.375,NA
"7/8/21","1","DSCN4686",259734,50939,0.457828803,36.84210444,"Cattle",0.48,0.666666666666667,0.391304347826087,0.0303030303030303,0.282608695652174,4.8,9.19238815542512,1.91508086571357,27.6666666666667,1.83333333333333,NA
"7/8/21","1","DSCN4687",259970,49703,0.446654921,36.84422719,"PZ",0.48,0.653846153846154,0.346153846153846,0.0384615384615385,0,4.68,6.18950725017751,1.32254428422596,23.8333333333333,1.54545454545455,NA
"7/8/21","2","DSCN4690",259530,53930,0.484869446,36.84026401,"Cattle",0.76,0.683333333333333,0.215384615384615,0,0.0769230769230769,10.12,14.9201206429439,1.47432022163477,33.4736842105263,1.95238095238095,NA
"7/8/21","2","DSCN4691",260266,53964,0.485178968,36.8468737,"PZ",0.6,0.684210526315789,0.3,0,0.05,4.76,5.08494509967086,1.06826577724178,21.2,1.625,NA
"7/12/21","Loop 1","DSCN4769",259724,50225,NA,NA,"PZ",0.6,0.590909090909091,0.361702127659574,0,0.0638297872340425,5.16,6.55540489469059,1.27042730517259,23.4666666666667,1.44444444444444,NA
"7/12/21","Loop 1","DSCN4770",259705,50520,NA,NA,"GZ",0.708333333333333,0.694915254237288,0.338983050847458,0,0,8.66666666666667,10.7204261217493,1.23697224481722,31.4117647058824,2.27777777777778,NA
"7/12/21","Loop 1","DSCN4772",260616,51099,NA,NA,"Cattle",0.5,0.714285714285714,0.351351351351351,0,0.0540540540540541,6.26923076923077,12.0583836140925,1.92342315316813,30.7692307692308,1.78571428571429,NA
"7/12/21","Loop 1","DSCN4768",261038,52446,NA,NA,"Cattle",0.76,0.704545454545455,0.136363636363636,0.0454545454545455,0,4.52,4.73568016938081,1.04771685163292,16.5263157894737,1.72222222222222,NA
"7/12/21","Loop 1","DSCN4771",261332,52651,NA,NA,"GZ",0.5,0.875,0.53448275862069,0,0.172413793103448,4.53846153846154,7.95603302773823,1.7530242264508,27.0769230769231,3.23076923076923,NA
"7/12/21","Loop 1","DSCN4773",261008,52627,NA,NA,"",0.8,1,0.454545454545455,0,0.0606060606060606,9.4,10.4522724801834,1.11194388087058,30.1,2.58333333333333,NA
"","","",NA,NA,NA,NA,"",0,NA,NA,NA,NA,0,0,NA,NA,NA,NA
